product_id,product_name,variant,source_product_code,pdf_page,image_file
P001,Q200 Mini Eco Set,Standard,Q200,2,P001_Standard.png
P002,Q198 A5 Bamboo Notebook with Bamboo Duo Pen,Standard,Q198,3,P002_Standard.png
P003,Q191 Cork & Linen A5 Notebook with Cork/Bamboo Fiber Pen,Standard,Q191,4,P003_Standard.png
P004,Q192 2-in-1 Black Timeless Notebook Set,Black,Q192,5,P004_Black.png
P005,Q196 A5 Notebook with Luster Metal Pen,Grey,Q196,6,P005_Grey.png
P005,Q196 A5 Notebook with Luster Metal Pen,Orange,Q196,6,P005_Orange.png
P006,Q159 2-in-1 Origami Notebook with Metal Pen,Red,Q159,7,P006_Red.png
P007,Q160 2-in-1 3-Fold Notebook with Metal Pen,Dark,Q160,8,P007_Dark.png
P008,Q185 Compact 4 PC Cork Gift Set,Natural Cork,Q185,9,P008_Natural_Cork.png
P009,Compact 5 PC Gift Set,Black,Q151,10,P009_Black.png
P009,Compact 5 PC Gift Set,Brown,Q154,12,P009_Brown.png
P010,Q153 Compact 5 PC Cork Gift Set,Cork,Q153,11,P010_Cork.png
P011,Q155 Compact 3 PC Cork Gift Set,Cork,Q155,13,P011_Cork.png
P012,Q156 Compact 3 PC Gift Set,Brown,Q156,14,P012_Brown.png
P013,Q129 Globe A5 Notebook & Loop Metal Pen,Black,Q129,15,P013_Black.png
P014,Q130 A5 Notebook & Loop Metal Pen,Black,Q130,16,P014_Black.png
P015,Q131 Classic A5 Notebook & Oval Flat Pen,Black,Q131,17,P015_Black.png
P015,Q131 Classic A5 Notebook & Oval Flat Pen,Red,Q131,17,P015_Red.png
P016,Q150 Ecofelt Notebook & Gel Pen Gift Set,Grey,Q150,18,P016_Grey.png
P017,Q126 4-in-1 Textured PU Notebook & Loop Metal Pen,Grey,Q126,19,P017_Grey.png
P018,Q128 Ribbon A5 Notebook & Classy Metal Pen,Black/Red,Q128,20,P018_Black-Red.png
P019,Compact 4 PC Gift Set,Black,Q121,21,P019_Black.png
P019,Compact 4 PC Gift Set,Black Textured,Q123A,23,P019_Black_Textured.png
P019,Compact 4 PC Gift Set,Brown,Q122,22,P019_Brown.png
P020,Q124 Cork A5 Notebook with Bamboo/Cork Pen,Cork,Q124,24,P020_Cork.png
P021,Q125 2-in-1 Multipurpose PU Notebook,Black,Q125,25,P021_Black.png
P022,Q110 Cork Notebook + 2 Eco Coffee Mugs Gift Box,Coffee Mug,Q110,26,P022_Coffee_Mug.png
P023,"4-in-1 Gift Set: Bottle, Notebook, Pen & Keychain",Black Bottle,Q113,27,P023_Black_Bottle.png
P023,"4-in-1 Gift Set: Bottle, Notebook, Pen & Keychain",Silver Bottle,Q114,28,P023_Silver_Bottle.png
P023,"4-in-1 Gift Set: Bottle, Notebook, Pen & Keychain",Two-Tone / Black,Q117,30,P023_Two-Tone_-_Black.png
P023,"4-in-1 Gift Set: Bottle, Notebook, Pen & Keychain",White Bottle,Q116,29,P023_White_Bottle.png
P024,Q118 4-in-1 Gift Set with Phone Stand,Black,Q118,31,P024_Black.png
P025,Q80 Set of 2 Flexible Pocket Notebooks,Red,Q80,32,P025_Red.png
P026,Q90 Set of 2 Colorful Laser-Engraved Notebooks,Black/Red,Q90,33,P026_Black-Red.png
P027,Q107 Cork Notebook + 2 Eco Steel Mugs Gift Box,Steel Mug,Q107,34,P027_Steel_Mug.png
P028,Q57A SS Bottle + Notebook Gift Set,Black/Red,Q57A,35,P028_Black-Red.png
P029,Q59 Bamboo Cover Notebook + Bamboo Pen Gift Set,Bamboo,Q59,36,P029_Bamboo.png
P030,Q60/Q60A Cork Eco Notebook + Bamboo Stylus Gift Set,Black Box,Q60,37,P030_Black_Box.png
P030,Q60/Q60A Cork Eco Notebook + Bamboo Stylus Gift Set,Black Texture Box,Q60A,38,P030_Black_Texture_Box.png
P031,Q51 SS Bottle + Notebook + Mobile Stand Gift Set,Black,Q51,39,P031_Black.png
P032,Q53 5-in-1 Foggy SS Coffee Mug Gift Set,Black,Q53,40,P032_Black.png
P033,Q54 SS Bottle + Notebook + Metal Pen + Keychain,Black,Q54,41,P033_Black.png
P034,B206 Cork Fabric Notebook with 4-Refill Cork Pen,Blue/Cork,B206,42,P034_Blue-Cork.png
P035,Cork Fabric Notebook with Cork Pen,Natural/Cork,N/A,43,P035_Natural-Cork.png
